84,春光乍泄/ 春光乍洩/ 一起快乐  /  Happy Together,王家卫 Kar Wai Wong,1997,中国香港 日本 韩国,剧情 爱情 同性,8.9,455323,https://movie.douban.com/subject/1292679/
85,心灵捕手/ Good Will Hunting/ 骄阳似我(港)  /  心灵捕手,格斯·范·桑特 Gus Van Sant,1997,美国,剧情,8.9,503180,https://movie.douban.com/subject/1292656/
86,布达佩斯大饭店/ The Grand Budapest Hotel/ 布达佩斯大酒店(港)  /  欢迎来到布达佩斯大饭店(台),韦斯·安德森 Wes Anderson,2014,美国 德国 英国,剧情 喜剧 冒险,8.8,638857,https://movie.douban.com/subject/11525673/
87,被嫌弃的松子的一生/ 嫌われ松子の一生/ 花样奇缘(港)  /  令人讨厌的松子的一生(台),中岛哲也 Tetsuya Nakashima,2006,日本,剧情 歌舞,8.9,543010,https://movie.douban.com/subject/1787291/
88,阿凡达/ Avatar/ 天神下凡(港)  /  化身,詹姆斯·卡梅隆 James Cameron,2009,美国 英国,动作 科幻 冒险,8.7,961885,https://movie.douban.com/subject/1652587/
89,摩登时代/ Modern Times/ The Masses  /  Les Temps modernes,查理·卓别林 Charles Chaplin,1936,美国,剧情 喜剧 爱情,9.3,201443,https://movie.douban.com/subject/1294371/
90,剪刀手爱德华/ Edward Scissorhands/ 幻海奇缘(港)  /  剪刀手爱德华,蒂姆·波顿 Tim Burton,1990,美国,剧情 奇幻 爱情,8.7,813547,https://movie.douban.com/subject/1292370/
91,勇敢的心/ Braveheart/ 惊世未了缘(港)  /  梅尔吉勃逊之英雄本色(台),梅尔·吉布森 Mel Gibson,1995,美国,动作 传记 剧情 历史 战争,8.9,448102,https://movie.douban.com/subject/1294639/
92,天使爱美丽/ Le fabuleux destin d'Amélie Poulain/ 艾蜜莉的异想世界(台)  /  天使艾米莉,让-皮埃尔·热内 Jean-Pierre Jeunet,2001,法国 德国,喜剧 爱情,8.7,776358,https://movie.douban.com/subject/1292215/
93,喜剧之王/ 喜劇之王/ King of Comedy,周星驰 Stephen Chow / 李力持 Lik-Chi Lee,1999,中国香港,喜剧 剧情 爱情,8.7,678481,https://movie.douban.com/subject/1302425/
94,致命ID/ Identity/ 杀人游戏  /  致命身份,詹姆斯·曼高德 James Mangold,2003,美国,剧情 悬疑 惊悚,8.8,569903,https://movie.douban.com/subject/1297192/
95,加勒比海盗/ Pirates of the Caribbean: The Curse of the Black Pearl/ 加勒比海盗1：黑珍珠号的诅咒  /  神鬼奇航：鬼盗船魔咒(台),戈尔·维宾斯基 Gore Verbinski,2003,美国,动作 冒险 奇幻,8.8,639563,https://movie.douban.com/subject/1298070/
96,断背山/ Brokeback Mountain/ 断臂山  /  BBM,李安 Ang Lee,2005,美国 加拿大,剧情 爱情 同性 家庭,8.8,540624,https://movie.douban.com/subject/1418834/
97,哈利·波特与死亡圣器(下)/ Harry Potter and the Deathly Hallows: Part 2/ 哈利波特7：死神的圣物2(港 / 台),大卫·叶茨 David Yates,2011,美国 英国,奇幻 冒险,8.8,540300,https://movie.douban.com/subject/3011235/
98,杀人回忆/ 살인의 추억/ 谋杀回忆  /  杀手回忆录,奉俊昊 Joon-ho Bong,2003,韩国,剧情 动作 犯罪 悬疑 惊悚,8.8,472703,https://movie.douban.com/subject/1300299/
99,狩猎/ Jagten/ 谎言的烙印(台)  /  诬网(港),托马斯·温特伯格 Thomas Vinterberg,2012,丹麦 瑞典,剧情,9.1,257258,https://movie.douban.com/subject/6985810/
100,请以你的名字呼唤我/ Call Me by Your Name/ 以你的名字呼唤我(港 / 台),卢卡·瓜达尼诺 Luca Guadagnino,2017,意大利 法国 巴西 美国 荷兰 德国,剧情 爱情 同性,8.9,458945,https://movie.douban.com/subject/26799731/
101,幽灵公主/ もののけ姫/ 魔法公主(台)  /  幽灵少女,宫崎骏 Hayao Miyazaki,1997,日本,动画 奇幻 冒险,8.9,397108,https://movie.douban.com/subject/1297359/
102,阳光灿烂的日子/ In the Heat of the Sun,姜文 Wen Jiang,1994,中国大陆 中国香港,剧情 爱情,8.8,457384,https://movie.douban.com/subject/1291875/
103,小森林 夏秋篇/ リトル・フォレスト 夏・秋/ 小森食光 / 夏秋篇(台),森淳一 Junichi Mori,2014,日本,剧情,9.0,303208,https://movie.douban.com/subject/25814705/
104,重庆森林/ 重慶森林/ Chungking Express,王家卫 Kar Wai Wong,1994,中国香港,剧情 爱情,8.7,576933,https://movie.douban.com/subject/1291999/
105,入殓师/ おくりびと/ 礼仪师之奏鸣曲(港)  /  礼仪师(台),泷田洋二郎 Yôjirô Takita,2008,日本,剧情,8.8,451844,https://movie.douban.com/subject/2149806/
106,第六感/ The Sixth Sense/ 鬼眼(港)  /  灵异第六感(台),M·奈特·沙马兰 M. Night Shyamalan,1999,美国,剧情 悬疑 惊悚,8.9,393901,https://movie.douban.com/subject/1297630/
107,7号房的礼物/ 7번방의 선물/ 戆爸的礼物(港)  /  7号囚房的礼物,李焕庆 Hwan-kyeong Lee,2013,韩国,剧情 喜剧 家庭,8.9,374823,https://movie.douban.com/subject/10777687/
108,红辣椒/ パプリカ/ 盗梦侦探(港 / 台),今敏 Satoshi Kon,2006,日本,动画 悬疑 科幻 惊悚,9.0,280709,https://movie.douban.com/subject/1865703/
109,消失的爱人/ Gone Girl/ 失踪的女孩  /  失踪女孩,大卫·芬奇 David Fincher,2014,美国,剧情 犯罪 悬疑 惊悚,8.7,648086,https://movie.douban.com/subject/21318488/
110,小森林 冬春篇/ リトル・フォレスト 冬・春/ 小森食光 / 冬春篇(台),森淳一 Junichi Mori,2015,日本,剧情,9.0,267587,https://movie.douban.com/subject/25814707/
111,爱在黎明破晓前/ Before Sunrise/ 情留半天(港)  /  爱在黎明破晓时(台),理查德·林克莱特 Richard Linklater,1995,美国 奥地利 瑞士,剧情 爱情,8.8,429951,https://movie.douban.com/subject/1296339/
112,一一/ Yi yi  /  Yi yi: A One and a Two,杨德昌 Edward Yang,2000,中国台湾 日本,剧情 爱情 家庭,9.0,256112,https://movie.douban.com/subject/1292434/
113,侧耳倾听/ 耳をすませば/ 心之谷(台)  /  梦幻街少女(港),近藤喜文 Yoshifumi Kondo,1995,日本,剧情 爱情 动画,8.9,330809,https://movie.douban.com/subject/1297052/
114,唐伯虎点秋香/ 唐伯虎點秋香/ Flirting Scholar,李力持 Lik-Chi Lee,1993,中国香港,喜剧 爱情 古装,8.6,735370,https://movie.douban.com/subject/1306249/
115,超脱/ Detachment/ 人间师格(台),托尼·凯耶 Tony Kaye,2011,美国,剧情,8.9,336507,https://movie.douban.com/subject/5322596/
116,玛丽和马克思/ Mary and Max/ 巧克力情缘(台)  /  同是天涯寂寞客,亚当·艾略特 Adam Elliot,2009,澳大利亚,剧情 喜剧 动画,8.9,334369,https://movie.douban.com/subject/3072124/
117,倩女幽魂/ 倩女幽魂(87版)  /  倩女幽魂：妖魔道,程小东 Siu-Tung Ching,1987,中国香港,爱情 奇幻 武侠 古装,8.7,521191,https://movie.douban.com/subject/1297447/
118,蝙蝠侠：黑暗骑士崛起/ The Dark Knight Rises/ 蝙蝠侠前传3：黑暗骑士崛起  /  黑暗骑士：黎明升起(台),克里斯托弗·诺兰 Christopher Nolan,2012,美国 英国,剧情 动作 科幻 犯罪 惊悚,8.8,515356,https://movie.douban.com/subject/3395373/
119,告白/ 自白  /  母亲,中岛哲也 Tetsuya Nakashima,2010,日本,剧情 惊悚,8.7,540299,https://movie.douban.com/subject/4268598/
