33,Harakiri,https://www.imdb.com/title/tt0056058/,Not Rated,2h 13min,Action,Drama,,,"When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity.",Yasuhiko Takiguchi | Shinobu Hashimoto,Masaki Kobayashi,Tatsuya Nakadai | Akira Ishihama | Shima Iwashita
34,The Lion King,https://www.imdb.com/title/tt0110357/,G,1h 28min,Animation,Adventure,https://www.imdb.com/title/tt0110357/mediaviewer/rm3272938240,https://www.imdb.com/video/imdb/vi3764362265?playlistId=tt0110357,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.",Irene Mecchi | Jonathan Roberts | 27 more credits,Roger Allers,Matthew Broderick | Jeremy Irons | James Earl Jones
35,Back to the Future,https://www.imdb.com/title/tt0088763/,PG,1h 56min,Adventure,Comedy,https://www.imdb.com/title/tt0088763/mediaviewer/rm554638848,https://www.imdb.com/video/imdb/vi252380953?playlistId=tt0088763,"Marty McFly, a 17-year-old high school student, is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his close friend, the eccentric scientist Doc Brown.",Robert Zemeckis | Bob Gale,Robert Zemeckis,Michael J. Fox | Christopher Lloyd | Lea Thompson
36,The Pianist,https://www.imdb.com/title/tt0253474/,R,2h 30min,Biography,Drama,https://www.imdb.com/title/tt0253474/mediaviewer/rm902038272,https://www.imdb.com/video/imdb/vi988938521?playlistId=tt0253474,A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.,Ronald Harwood | Wladyslaw Szpilman,Roman Polanski,Adrien Brody | Thomas Kretschmann | Frank Finlay
37,Terminator 2: Judgment Day,https://www.imdb.com/title/tt0103064/,R,2h 17min,Action,Sci-Fi,https://www.imdb.com/title/tt0103064/mediaviewer/rm1982141440,https://www.imdb.com/video/imdb/vi2748889369?playlistId=tt0103064,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her teenage son, John Connor, from a more advanced and powerful cyborg.",James Cameron | William Wisher,James Cameron,Arnold Schwarzenegger | Linda Hamilton | Edward Furlong
38,American History X,https://www.imdb.com/title/tt0120586/,R,1h 59min,Drama,20 November 1998 (USA),https://www.imdb.com/title/tt0120586/mediaviewer/rm1119425792,https://www.imdb.com/video/imdb/vi854001177?playlistId=tt0120586,A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.,David McKenna,Tony Kaye,Edward Norton | Edward Furlong | Beverly D'Angelo
39,Modern Times,https://www.imdb.com/title/tt0027977/,G,1h 27min,Comedy,Drama,,,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,Charles Chaplin,Charles Chaplin,Charles Chaplin | Paulette Goddard | Henry Bergman
40,Psycho,https://www.imdb.com/title/tt0054215/,R,1h 49min,Horror,Mystery,https://www.imdb.com/title/tt0054215/mediaviewer/rm1902135552,https://www.imdb.com/video/imdb/vi607099161?playlistId=tt0054215,"A Phoenix secretary embezzles forty thousand dollars from her employer's client, goes on the run, and checks into a remote motel run by a young man under the domination of his mother.",Joseph Stefano | Robert Bloch,Alfred Hitchcock,Anthony Perkins | Janet Leigh | Vera Miles
41,Gladiator,https://www.imdb.com/title/tt0172495/,R,2h 35min,Action,Adventure,https://www.imdb.com/title/tt0172495/mediaviewer/rm2442542592,https://www.imdb.com/video/imdb/vi2628367897?playlistId=tt0172495,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,David Franzoni | David Franzoni | 2 more credits,Ridley Scott,Russell Crowe | Joaquin Phoenix | Connie Nielsen
42,City Lights,https://www.imdb.com/title/tt0021749/,G,1h 27min,Comedy,Drama,,,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.",Charles Chaplin,Charles Chaplin,Charles Chaplin | Virginia Cherrill | Florence Lee
43,The Departed,https://www.imdb.com/title/tt0407887/,R,2h 31min,Crime,Drama,https://www.imdb.com/title/tt0407887/mediaviewer/rm981113088,https://www.imdb.com/video/imdb/vi2760573209?playlistId=tt0407887,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,William Monahan | Alan Mak | 1 more credit,Martin Scorsese,Leonardo DiCaprio | Matt Damon | Jack Nicholson
44,The Intouchables,https://www.imdb.com/title/tt1675434/,R,1h 52min,Biography,Comedy,https://www.imdb.com/title/tt1675434/mediaviewer/rm1305720576,https://www.imdb.com/video/imdb/vi59285529?playlistId=tt1675434,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.",Olivier Nakache | Philippe Pozzo di Borgo | 1 more credit,Olivier Nakache,François Cluzet | Omar Sy | Anne Le Ny
45,Whiplash,https://www.imdb.com/title/tt2582802/,R,1h 46min,Drama,Music,https://www.imdb.com/title/tt2582802/mediaviewer/rm1048725760,https://www.imdb.com/video/imdb/vi4006456345?playlistId=tt2582802,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,Damien Chazelle,Damien Chazelle,Miles Teller | J.K. Simmons | Melissa Benoist
46,The Prestige,https://www.imdb.com/title/tt0482571/,PG-13,2h 10min,Drama,Mystery,https://www.imdb.com/title/tt0482571/mediaviewer/rm4031813632,https://www.imdb.com/video/imdb/vi2885334553?playlistId=tt0482571,"After a tragic accident, two stage magicians engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.",Jonathan Nolan | Christopher Nolan | 1 more credit,Christopher Nolan,Christian Bale | Hugh Jackman | Scarlett Johansson
47,Once Upon a Time in the West,https://www.imdb.com/title/tt0064116/,PG-13,2h 45min,Western,4 July 1969 (USA),https://www.imdb.com/title/tt0064116/mediaviewer/rm1378371584,https://www.imdb.com/video/imdb/vi239075865?playlistId=tt0064116,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.,Sergio Donati | Sergio Leone | 3 more credits,Sergio Leone,Henry Fonda | Charles Bronson | Claudia Cardinale
48,Grave of the Fireflies,https://www.imdb.com/title/tt0095327/,Not Rated,1h 29min,Animation,Drama,https://www.imdb.com/title/tt0095327/mediaviewer/rm2344616448,https://www.imdb.com/video/imdb/vi1377679385?playlistId=tt0095327,A young boy and his little sister struggle to survive in Japan during World War II.,Akiyuki Nosaka | Isao Takahata,Isao Takahata,Tsutomu Tatsumi | Ayano Shiraishi | Akemi Yamaguchi
49,Casablanca,https://www.imdb.com/title/tt0034583/,PG,1h 42min,Drama,Romance,https://www.imdb.com/title/tt0034583/mediaviewer/rm1220089088,https://www.imdb.com/video/imdb/vi6095897?playlistId=tt0034583,A cynical American expatriate struggles to decide whether or not he should help his former lover and her fugitive husband escape French Morocco.,Julius J. Epstein | Philip G. Epstein | 3 more credits,Michael Curtiz,Humphrey Bogart | Ingrid Bergman | Paul Henreid
50,Cinema Paradiso,https://www.imdb.com/title/tt0095765/,R,2h 35min,Drama,23 February 1990 (USA),https://www.imdb.com/title/tt0095765/mediaviewer/rm968560128,https://www.imdb.com/video/imdb/vi2800655897?playlistId=tt0095765,A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.,Giuseppe Tornatore | Giuseppe Tornatore | 2 more credits,Giuseppe Tornatore,Philippe Noiret | Enzo Cannavale | Antonella Attili
51,Rear Window,https://www.imdb.com/title/tt0047396/,PG,1h 52min,Mystery,Thriller,https://www.imdb.com/title/tt0047396/mediaviewer/rm2139574272,https://www.imdb.com/video/imdb/vi2391784473?playlistId=tt0047396,A wheelchair-bound photographer spies on his neighbors from his apartment window and becomes convinced one of them has committed murder.,John Michael Hayes | Cornell Woolrich,Alfred Hitchcock,James Stewart | Grace Kelly | Wendell Corey
52,Alien,https://www.imdb.com/title/tt0078748/,R,1h 57min,Horror,Sci-Fi,https://www.imdb.com/title/tt0078748/mediaviewer/rm2990766080,https://www.imdb.com/video/imdb/vi1497801241?playlistId=tt0078748,"After a space merchant vessel receives an unknown transmission as a distress call, one of the crew is attacked by a mysterious life form and they soon realize that its life cycle has merely begun.",Dan O'Bannon | Dan O'Bannon | 1 more credit,Ridley Scott,Sigourney Weaver | Tom Skerritt | John Hurt
53,Apocalypse Now,https://www.imdb.com/title/tt0078788/,R,2h 27min,Drama,Mystery,https://www.imdb.com/title/tt0078788/mediaviewer/rm1007713024,https://www.imdb.com/video/imdb/vi3543773721?playlistId=tt0078788,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.,John Milius | Francis Ford Coppola | 1 more credit,Francis Ford Coppola,Martin Sheen | Marlon Brando | Robert Duvall
54,Memento,https://www.imdb.com/title/tt0209144/,R,1h 53min,Mystery,Thriller,https://www.imdb.com/title/tt0209144/mediaviewer/rm655365120,https://www.imdb.com/video/imdb/vi3220356889?playlistId=tt0209144,A man with short-term memory loss attempts to track down his wife's murderer.,Christopher Nolan | Jonathan Nolan,Christopher Nolan,Guy Pearce | Carrie-Anne Moss | Joe Pantoliano
55,Raiders of the Lost Ark,https://www.imdb.com/title/tt0082971/,PG,1h 55min,Action,Adventure,https://www.imdb.com/title/tt0082971/mediaviewer/rm1612744448,https://www.imdb.com/video/imdb/vi3747396377?playlistId=tt0082971,,Lawrence Kasdan | George Lucas | 1 more credit,Steven Spielberg,Harrison Ford | Karen Allen | Paul Freeman
56,The Great Dictator,https://www.imdb.com/title/tt0032553/,Passed,2h 5min,Comedy,Drama,https://www.imdb.com/title/tt0032553/mediaviewer/rm2845182976,https://www.imdb.com/video/imdb/vi3851590681?playlistId=tt0032553,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.,Charles Chaplin,Charles Chaplin,Charles Chaplin | Paulette Goddard | Jack Oakie
57,Joker,https://www.imdb.com/title/tt7286456/,R,2h 2min,Crime,Drama,https://www.imdb.com/title/tt7286456/mediaviewer/rm3353122305,https://www.imdb.com/video/imdb/vi1723318041?playlistId=tt7286456,"In Gotham City, mentally troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime. This path brings him face-to-face with his alter-ego: the Joker.",Todd Phillips | Scott Silver | 3 more credits,Todd Phillips,Joaquin Phoenix | Robert De Niro | Zazie Beetz
58,The Lives of Others,https://www.imdb.com/title/tt0405094/,R,2h 17min,Drama,Mystery,,,"In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives.",Florian Henckel von Donnersmarck,Florian Henckel von Donnersmarck,Ulrich Mühe | Martina Gedeck | Sebastian Koch
59,Django Unchained,https://www.imdb.com/title/tt1853728/,R,2h 45min,Drama,Western,https://www.imdb.com/title/tt1853728/mediaviewer/rm958180352,https://www.imdb.com/video/imdb/vi2291574553?playlistId=tt1853728,"With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.",Quentin Tarantino,Quentin Tarantino,Jamie Foxx | Christoph Waltz | Leonardo DiCaprio
60,Paths of Glory,https://www.imdb.com/title/tt0050825/,Approved,1h 28min,Drama,War,https://www.imdb.com/title/tt0050825/mediaviewer/rm3192317440,https://www.imdb.com/video/imdb/vi763627801?playlistId=tt0050825,"After refusing to attack an enemy position, a general accuses the soldiers of cowardice and their commanding officer must defend them.",Stanley Kubrick | Calder Willingham | 2 more credits,Stanley Kubrick,Kirk Douglas | Ralph Meeker | Adolphe Menjou
61,The Shining,https://www.imdb.com/title/tt0081505/,R,2h 26min,Drama,Horror,https://www.imdb.com/title/tt0081505/mediaviewer/rm3901111552,https://www.imdb.com/video/imdb/vi2689121305?playlistId=tt0081505,"A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future.",Stephen King | Stanley Kubrick | 1 more credit,Stanley Kubrick,Jack Nicholson | Shelley Duvall | Danny Lloyd
62,WALL·E,https://www.imdb.com/title/tt0910970/,G,1h 38min,Animation,Adventure,https://www.imdb.com/title/tt0910970/mediaviewer/rm1659211008,https://www.imdb.com/video/imdb/vi2192703769?playlistId=tt0910970,"In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.",Andrew Stanton | Pete Docter | 2 more credits,Andrew Stanton,Ben Burtt | Elissa Knight | Jeff Garlin
63,Avengers: Infinity War,https://www.imdb.com/title/tt4154756/,PG-13,2h 29min,Action,Adventure,https://www.imdb.com/title/tt4154756/mediaviewer/rm4044245504,https://www.imdb.com/video/imdb/vi528070681?playlistId=tt4154756,The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.,Christopher Markus | Stephen McFeely | 14 more credits,Anthony Russo,Robert Downey Jr. | Chris Hemsworth | Mark Ruffalo
64,Sunset Blvd.,https://www.imdb.com/title/tt0043014/,Passed,1h 50min,Drama,Film-Noir,https://www.imdb.com/title/tt0043014/mediaviewer/rm3057726976,https://www.imdb.com/video/imdb/vi2388460569?playlistId=tt0043014,A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.,Charles Brackett | Billy Wilder | 1 more credit,Billy Wilder,William Holden | Gloria Swanson | Erich von Stroheim
65,Spider-Man: Into the Spider-Verse,https://www.imdb.com/title/tt4633694/,PG,1h 57min,Animation,Action,https://www.imdb.com/title/tt4633694/mediaviewer/rm173371392,https://www.imdb.com/video/imdb/vi1489877529?playlistId=tt4633694,"Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.",Phil Lord | Rodney Rothman | 1 more credit,Bob Persichetti,Shameik Moore | Jake Johnson | Hailee Steinfeld
